id_mpio,entidad,mpio,clasificacion_2000,grado_idh_2005,idh_2000,clasificacion_2005,idh_2005,tasa_moralidad_infantil_2000,tasa_mortalidad_infantil_2005,tasa_alfabetizacion_2000,tasa_alfabetizacion_2005,tasa_asistencia_escolar_2000,tasa_asistencia_escolar_2005,usd_ppc_2000,usd_ppc_2005,indice_salud_2000,indice_salud_2005,indice_educacion_2000,indice_educacion_2005,indice_ingreso_2000,indice_ingreso_2005
17003,Morelos,Axochiapan,983,medio,0.7332,1212,0.7584,28.70964,20.12904,80.54904,81.97057,56.43477,62.34775,6455.847319,5478.855892,0.7790104,0.852766,0.7251095,0.7542962,0.6955848,0.6681975
30061,Veracruz,Las Choapas,1234,medio,0.7131,1213,0.7583,29.52338,25.36661,80.81862,82.23031,56.64011,65.42694,4626.262288,6671.778136,0.7720159,0.8077458,0.7275912,0.7662919,0.6399661,0.7010759
16090,Michoacán,Tingambato,986,medio,0.7329,1214,0.7583,26.98507,17.73521,84.52948,87.33278,59.51585,63.07516,4715.148036,3846.181594,0.7938343,0.8733425,0.761916,0.792469,0.6431425,0.6091442
20222,Oaxaca,San Juan Yaeé,1820,medio,0.6607,1215,0.7582,31.42845,18.9508,84.90927,86.86058,50,65.54935,1926.833811,3969.797045,0.7556406,0.8628933,0.7327284,0.7975684,0.4937797,0.614424
21060,Puebla,Domingo Arenas,1314,medio,0.7069,1216,0.7582,27.29944,21.37426,88.28712,90.8729,51.54465,58.44922,3028.584277,4411.592702,0.7911317,0.8420622,0.7603962,0.8006501,0.5692565,0.6320359
13017,Hidalgo,Chapantongo,1186,medio,0.7173,1217,0.7580,30.04535,21.40633,84.67113,85.64617,62.15591,62.19305,3935.843849,5036.857077,0.7675294,0.8417866,0.7716606,0.7782846,0.6129904,0.6541585
20524,Oaxaca,Santo Domingo Yodohino,1284,medio,0.7099,1218,0.7578,27.87057,16.62686,79.51807,81.5873,71.5,59.52381,3140.203062,4866.469874,0.7862225,0.8828694,0.7684538,0.742328,0.5752972,0.6484147
20562,Oaxaca,Magdalena Yodocono de Porfirio Díaz,1337,medio,0.7055,1219,0.7578,28.21754,17.46629,82.87154,84.9315,64.48598,59.2668,2967.631688,4466.751244,0.7832402,0.8756536,0.7674302,0.7637661,0.5658632,0.6341098
07034,Chiapas,Frontera Comalapa,1414,medio,0.6997,1220,0.7578,31.78162,20.52289,83.53076,84.22791,55.2354,61.10779,3765.721128,5180.921406,0.752605,0.8493804,0.7409897,0.7652121,0.6056156,0.6588653
24027,San Luis Potosí,San Ciro de Acosta,989,medio,0.7326,1221,0.7577,29.13408,18.33357,81.82501,81.55165,58.74941,66.06648,5923.959186,4662.636111,0.775362,0.8681991,0.7413314,0.7638993,0.6812341,0.6412733
